tier	file	line	kind	name	attrs	boneyard_refs	orphan_module
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleConstruction.lean	1292	theorem	omega_chain_c5_forward_resolved_no_new		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleConstruction.lean	1316	theorem	omega_chain_c5_backward_resolved_no_new		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleGuardAccumulation.lean	235	theorem	noGuardAccumulation_of_guard_never_fails		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleGuardAccumulation.lean	801	theorem	noGuardAccumulation_not_implied_by_limit_data		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleMonadicBridge.lean	1034	def	chronicleMonadicExpressiveCompleteness		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleToCountermodel.lean	213	theorem	limitDomSubtype_succ_iter_injective		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleToCountermodel.lean	329	theorem	collapse_equiv_succ_congr		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleToCountermodel.lean	407	theorem	collapse_not_equiv_of_orbit		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleToCountermodel.lean	728	theorem	discrete_f_at_zero		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleToCountermodelBasic.lean	1022	theorem	order_succ_eq_limitDomSubtype_succ		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleToCountermodelBasic.lean	1034	theorem	order_pred_eq_limitDomSubtype_pred		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleToCountermodelBasic.lean	1082	theorem	limitDomSubtype_pred_succ		1	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleToCountermodelBasic.lean	1111	theorem	limitDomSubtype_le_pred_of_lt		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleTypes.lean	268	theorem	dcs_consistent		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleTypes.lean	680	structure	ValidChronicle		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleTypes.lean	707	theorem	c3_interval_subset_point		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleTypes.lean	719	theorem	c3_interval_subset_left		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleTypes.lean	731	theorem	c3_interval_subset_right		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleTypes.lean	794	theorem	r3Relation_implies_rRelation		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleTypes.lean	798	theorem	r3Relation_implies_rRelationSince		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleTypes.lean	808	theorem	R3Maximal.dcs		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleTypes.lean	818	theorem	R3Maximal_rRelation		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleTypes.lean	847	theorem	dcs_inter_mcs		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleTypes.lean	866	theorem	three_way_inter_consistent		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/ChronicleTypes.lean	875	theorem	dcs_inter_mcs_inter_dcs		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/CounterexampleElimination.lean	133	theorem	exists_rat_between_not_in_finset		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/CounterexampleElimination.lean	269	theorem	c2'_preserved_on_old_adjacent		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/CounterexampleElimination.lean	298	theorem	burgessR3Maximal_from_h_content_sub		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/CounterexampleElimination.lean	449	theorem	eliminate_g_prop_counterexample		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/CounterexampleElimination.lean	489	theorem	eliminate_h_prop_counterexample		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/PointInsertion.lean	118	theorem	P_neg_of_H_not		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/PointInsertion.lean	296	theorem	lemma_2_5b_past		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/PointInsertion.lean	512	theorem	r3Maximal_neg_of_not_mem		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/PointInsertion.lean	543	theorem	mcs_no_proper_dcs_extension		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/PointInsertion.lean	755	theorem	xu_lemma_2_3_until_top		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/PointInsertion.lean	819	theorem	set_univ_closed_under_derivation		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/PointInsertion.lean	863	theorem	H_ex_falso_strengthen		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/PointInsertion.lean	925	theorem	BurgessR3Maximal.neg_or_ext_fails		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/PointInsertion.lean	980	def	conjIntroCurried		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/PointInsertion.lean	1003	theorem	h_content_sub_imp_g_content_sub'		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/PointInsertion.lean	1035	theorem	g_content_sub_imp_h_content_sub'		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/PointInsertion.lean	1195	def	andLeftImpl		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/PointInsertion.lean	1200	def	andRightImpl		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/PointInsertion.lean	1232	theorem	inconsistent_from_implied		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/PointInsertion.lean	1338	def	untlRightMonoDeriv		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/PointInsertion.lean	1347	def	snceRightMonoDeriv		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/RRelation.lean	287	theorem	rMaximalSince_extension_exists		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/RRelation.lean	340	theorem	r3Maximal_extension_exists		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/RRelation.lean	386	theorem	r3MaximalSince_extension_exists		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/RRelation.lean	434	theorem	r3_seed_from_rRelation		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/RRelation.lean	662	theorem	c4'_hard_case_H_neg_delta		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/RRelation.lean	711	theorem	closed_under_derivation_inconsistent_eq_univ		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/RRelation.lean	781	theorem	BurgessR3Maximal.cud		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/RRelation.lean	795	theorem	BurgessR3Maximal_burgessRSet		0	
