name	category	kind	module
FormalSystem.Metalogic.BXCanonical.shifted_bx_fmcs	data	def	FormalSystem.Metalogic.BXCanonical.CanonicalModel
FormalSystem.Metalogic.BXCanonical.fwd_succ_fc	prop_valued_definition	def	FormalSystem.Metalogic.BXCanonical.CanonicalModel
FormalSystem.Metalogic.BXCanonical.bwd_pred_fc	prop_valued_definition	def	FormalSystem.Metalogic.BXCanonical.CanonicalModel
FormalSystem.Metalogic.BXCanonical.fwd_chain_fc	data	def	FormalSystem.Metalogic.BXCanonical.CanonicalModel
FormalSystem.Metalogic.BXCanonical.bwd_chain_fc	data	def	FormalSystem.Metalogic.BXCanonical.CanonicalModel
FormalSystem.Metalogic.BXCanonical.int_chain_fc	prop_valued_definition	def	FormalSystem.Metalogic.BXCanonical.CanonicalModel
FormalSystem.Metalogic.BXCanonical.bx_fmcs_fc	data	def	FormalSystem.Metalogic.BXCanonical.CanonicalModel
FormalSystem.Metalogic.BXCanonical.shifted_bx_fmcs_fc	data	def	FormalSystem.Metalogic.BXCanonical.CanonicalModel
FormalSystem.Metalogic.BXCanonical.henkin_bfmcs	data	def	FormalSystem.Metalogic.BXCanonical.CanonicalModel
FormalSystem.Metalogic.BXCanonical.Chronicle.singleton_chronicle	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleConstruction
FormalSystem.Metalogic.BXCanonical.Chronicle.counterexample_enum	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleConstruction
FormalSystem.Metalogic.BXCanonical.Chronicle.omega_chain	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleConstruction
FormalSystem.Metalogic.BXCanonical.Chronicle.omega_chain_val	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleConstruction
FormalSystem.Metalogic.BXCanonical.Chronicle.omega_chain_elim_result	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleConstruction
FormalSystem.Metalogic.BXCanonical.Chronicle.limit_dom	prop_valued_definition	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleConstruction
FormalSystem.Metalogic.BXCanonical.Chronicle.limit_f	prop_valued_definition	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleConstruction
FormalSystem.Metalogic.BXCanonical.Chronicle.limit_g	prop_valued_definition	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleConstruction
FormalSystem.Metalogic.BXCanonical.Chronicle.collapse_equiv	prop_valued_definition	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel
FormalSystem.Metalogic.BXCanonical.Chronicle.collapse_setoid	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel
