old_name	target_final	full_target	category	module	usages	source
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_futRayD	kvEFutRayD	FormalSystem.Metalogic.WeakCanonical.Kamp.kvEFutRayD	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorNegationK	10	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_futRayForm	kvEFutRayForm	FormalSystem.Metalogic.WeakCanonical.Kamp.kvEFutRayForm	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorNegationK	9	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_futRayZone	kvEFutRayZone	FormalSystem.Metalogic.WeakCanonical.Kamp.kvEFutRayZone	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorNegationK	26	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_futSelfZone	kvEFutSelfZone	FormalSystem.Metalogic.WeakCanonical.Kamp.kvEFutSelfZone	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorNegationK	41	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_futSliceEq	kvEFutSliceEq	FormalSystem.Metalogic.WeakCanonical.Kamp.kvEFutSliceEq	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorPinnedConverseK	15	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_futSliceMarked	kvEFutSliceMarked	FormalSystem.Metalogic.WeakCanonical.Kamp.kvEFutSliceMarked	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorPinnedConverseK	16	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_pastAdmissible	kvEPastAdmissible	FormalSystem.Metalogic.WeakCanonical.Kamp.kvEPastAdmissible	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorNegationPastK	58	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_pastChain	kvEPastChain	FormalSystem.Metalogic.WeakCanonical.Kamp.kvEPastChain	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorNegationPastK	5	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_pastChainG	kvEPastChainG	FormalSystem.Metalogic.WeakCanonical.Kamp.kvEPastChainG	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorNegationPastK	10	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_pastEnd	kvEPastEnd	FormalSystem.Metalogic.WeakCanonical.Kamp.kvEPastEnd	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorNegationPastK	24	flagged
